NEW_TYPE,大类,中类,小类
010000,汽车服务,汽车服务相关,汽车服务相关
010100,汽车服务,加油站,加油站
010101,汽车服务,加油站,中国石化
010102,汽车服务,加油站,中国石油
010103,汽车服务,加油站,壳牌
010104,汽车服务,加油站,美孚
010105,汽车服务,加油站,加德士
010107,汽车服务,加油站,东方
010108,汽车服务,加油站,中石油碧辟
010109,汽车服务,加油站,中石化碧辟
010110,汽车服务,加油站,道达尔
010111,汽车服务,加油站,埃索
010112,汽车服务,加油站,中化道达尔
010200,汽车服务,其它能源站,其它能源站
010300,汽车服务,加气站,加气站
010400,汽车服务,汽车养护/装饰,汽车养护
010401,汽车服务,汽车养护/装饰,加水站
010500,汽车服务,洗车场,洗车场
010600,汽车服务,汽车俱乐部,汽车俱乐部
010700,汽车服务,汽车救援,汽车救援
010800,汽车服务,汽车配件销售,汽车配件销售
010900,汽车服务,汽车租赁,汽车租赁
010901,汽车服务,汽车租赁,汽车租赁还车
011000,汽车服务,二手车交易,二手车交易
011100,汽车服务,充电站,充电站
020000,汽车销售,汽车销售,汽车销售
020100,汽车销售,大众特约销售,大众销售
020101,汽车销售,大众特约销售,上海大众销售
020102,汽车销售,大众特约销售,一汽-大众销售
020103,汽车销售,大众特约销售,斯柯达销售
020104,汽车销售,大众特约销售,进口大众销售
020105,汽车销售,大众特约销售,宾利销售
020106,汽车销售,大众特约销售,兰博基尼销售
020200,汽车销售,本田特约销售,本田销售
020201,汽车销售,本田特约销售,广汽本田销售
020202,汽车销售,本田特约销售,东风本田销售
020203,汽车销售,本田特约销售,本田讴歌销售
020300,汽车销售,奥迪特约销售,奥迪销售
020301,汽车销售,奥迪特约销售,一汽-大众奥迪销售
020400,汽车销售,通用特约销售,通用销售
020401,汽车销售,通用特约销售,凯迪拉克销售
020402,汽车销售,通用特约销售,别克销售
020403,汽车销售,通用特约销售,雪佛兰销售
020404,汽车销售,通用特约销售,欧宝销售
020405,汽车销售,通用特约销售,萨博销售
020406,汽车销售,通用特约销售,沃克斯豪尔销售
020407,汽车销售,通用特约销售,土星销售
020408,汽车销售,通用特约销售,大宇销售
020600,汽车销售,宝马特约销售,宝马销售
020601,汽车销售,宝马特约销售,宝马MINI销售
020602,汽车销售,宝马特约销售,劳斯莱斯销售
020700,汽车销售,日产特约销售,日产销售
020701,汽车销售,日产特约销售,东风日产销售
020702,汽车销售,日产特约销售,郑州日产销售
020703,汽车销售,日产特约销售,英菲尼迪销售
020800,汽车销售,雷诺特约销售,雷诺销售
020900,汽车销售,梅赛德斯-奔驰特约销售,梅赛德斯-奔驰销售
020904,汽车销售,梅赛德斯-奔驰特约销售,迈巴赫销售
020905,汽车销售,梅赛德斯-奔驰特约销售,精灵销售
021000,汽车销售,丰田特约销售,丰田销售
021001,汽车销售,丰田特约销售,一汽丰田销售
021002,汽车销售,丰田特约销售,广汽丰田销售
021003,汽车销售,丰田特约销售,雷克萨斯销售
021004,汽车销售,丰田特约销售,大发销售
021100,汽车销售,斯巴鲁特约销售,斯巴鲁销售
021200,汽车销售,标致雪铁龙特约销售,雪铁龙销售
021201,汽车销售,标致雪铁龙特约销售,东风雪铁龙销售
021202,汽车销售,标致雪铁龙特约销售,东风标致销售
021203,汽车销售,标致雪铁龙特约销售,DS销售
021300,汽车销售,三菱特约销售,三菱销售
021301,汽车销售,三菱特约销售,广汽三菱销售
021400,汽车销售,菲亚特约销售,菲亚特销售
021401,汽车销售,菲亚特约销售,阿尔法-罗密欧销售
021500,汽车销售,法拉利特约销售,法拉利销售
021501,汽车销售,法拉利特约销售,玛莎拉蒂销售
021600,汽车销售,现代特约销售,现代销售
021601,汽车销售,现代特约销售,进口现代销售
021602,汽车销售,现代特约销售,北京现代销售
021700,汽车销售,起亚特约销售,起亚销售
021701,汽车销售,起亚特约销售,进口起亚销售
021702,汽车销售,起亚特约销售,东风悦达起亚销售
021800,汽车销售,福特特约销售,福特销售
021802,汽车销售,福特特约销售,马自达销售
021803,汽车销售,福特特约销售,林肯销售
021804,汽车销售,福特特约销售,水星销售
021900,汽车销售,捷豹特约销售,捷豹销售
022000,汽车销售,路虎特约销售,路虎销售
022100,汽车销售,保时捷特约销售,保时捷销售
022200,汽车销售,东风特约销售,东风销售
022300,汽车销售,吉利特约销售,吉利销售
022301,汽车销售,吉利特约销售,沃尔沃汽车销售
022400,汽车销售,奇瑞特约销售,奇瑞销售
022500,汽车销售,克莱斯勒特约销售,克莱斯勒销售
022501,汽车销售,克莱斯勒特约销售,吉普销售
022502,汽车销售,克莱斯勒特约销售,道奇销售
022600,汽车销售,荣威销售,荣威销售
022700,汽车销售,名爵销售,名爵销售
022800,汽车销售,江淮销售,江淮销售
022900,汽车销售,红旗销售,红旗销售
023000,汽车销售,长安汽车销售,长安汽车销售
023100,汽车销售,海马汽车销售,海马汽车销售
023200,汽车销售,北京汽车销售,北京汽车销售
023300,汽车销售,长城汽车销售,长城汽车销售
023301,汽车销售,长城汽车销售,魏派汽车销售
023400,汽车销售,纳智捷销售,纳智捷销售
023500,汽车销售,广汽传祺销售,广汽传祺销售
025000,汽车销售,货车销售,货车销售
025100,汽车销售,东风货车销售,东风货车销售
025200,汽车销售,中国重汽销售,中国重汽销售
025300,汽车销售,一汽解放销售,一汽解放销售
025400,汽车销售,福田卡车销售,福田卡车销售
025500,汽车销售,陕西重汽销售,陕西重汽销售
025600,汽车销售,北奔重汽销售,北奔重汽销售
025700,汽车销售,江淮货车销售,江淮货车销售
025800,汽车销售,华菱星马销售,华菱星马销售
025900,汽车销售,成都大运汽车销售,成都大运汽车销售
026000,汽车销售,梅赛德斯-奔驰卡车销售,梅赛德斯-奔驰卡车销售
026100,汽车销售,德国曼恩销售,德国曼恩销售
026200,汽车销售,斯堪尼亚销售,斯堪尼亚销售
026300,汽车销售,沃尔沃卡车销售,沃尔沃卡车销售
029900,汽车销售,观致销售,观致销售
030000,汽车维修,汽车维修,汽车维修
030100,汽车维修,汽车综合维修,汽车综合维修
030200,汽车维修,大众特约维修,大众维修
030201,汽车维修,大众特约维修,上海大众维修
030202,汽车维修,大众特约维修,一汽-大众维修
030203,汽车维修,大众特约维修,斯柯达维修
030204,汽车维修,大众特约维修,进口大众维修
030205,汽车维修,大众特约维修,宾利维修
030206,汽车维修,大众特约维修,兰博基尼维修
030300,汽车维修,本田特约维修,本田维修
030301,汽车维修,本田特约维修,广汽本田维修
030302,汽车维修,本田特约维修,东风本田维修
030303,汽车维修,本田特约维修,本田讴歌维修
030400,汽车维修,奥迪特约维修,奥迪维修
030401,汽车维修,奥迪特约维修,一汽-大众奥迪维修
030500,汽车维修,通用特约维修,通用维修
030501,汽车维修,通用特约维修,凯迪拉克维修
030502,汽车维修,通用特约维修,别克维修
030503,汽车维修,通用特约维修,雪佛兰维修
030504,汽车维修,通用特约维修,欧宝维修
030505,汽车维修,通用特约维修,萨博维修
030506,汽车维修,通用特约维修,沃克斯豪尔维修
030507,汽车维修,通用特约维修,土星维修
030508,汽车维修,通用特约维修,大宇维修
030700,汽车维修,宝马特约维修,宝马维修
030701,汽车维修,宝马特约维修,宝马MINI维修
030702,汽车维修,宝马特约维修,劳斯莱斯维修
030800,汽车维修,日产特约维修,日产维修
030801,汽车维修,日产特约维修,英菲尼迪维修
030802,汽车维修,日产特约维修,东风日产维修
030803,汽车维修,日产特约维修,郑州日产维修
030900,汽车维修,雷诺特约维修,雷诺维修
031000,汽车维修,梅赛德斯-奔驰特约维修,梅赛德斯-奔驰维修
031004,汽车维修,梅赛德斯-奔驰特约维修,迈巴赫维修
031005,汽车维修,梅赛德斯-奔驰特约维修,精灵维修
031100,汽车维修,丰田特约维修,丰田维修
031101,汽车维修,丰田特约维修,一汽丰田维修
031102,汽车维修,丰田特约维修,广汽丰田维修
031103,汽车维修,丰田特约维修,雷克萨斯维修
031104,汽车维修,丰田特约维修,大发维修
